"name","weight","observations","extension"
"report_date","0.5","NA","29"
"notification_facility_type","0.5","2, 4","NA"
"birth_date","0","NA","284"
"age_year","0.5","36, 60","14"
"sex","0.5","1","NA"
"occupation_hcw","0.5","1","NA"
"gps_lat","0","-58.4584799408913, 80.5413407832384","92.76468707877"
"gps_long","0.5","122.621239442378, 128.207399295643","2.52619193881794"
"mass_gathering_yn","0.5","2","NA"
"mass_gathering_date","0.5","NA","242"
"no_hhd","1","48, 55","2"
"sick_hhd_yn","0.5","1","NA"
"sick_hhd_onset","0","NA","219"
"sick_comm_yn","0.5","1","NA"
"sick_comm_relat","0.5","4","NA"
"sick_comm_onset","0","NA","51"
"contact_sym_yn","0.5","2","NA"
"contact_sym_date","0.5","NA","356"
"travel_hist_yn","1","2","NA"
"travel_hist_date","0.5","NA","65"
"tradi_n_treat","1","1","NA"
"animal_exposure_yn","1","2","NA"
"animal_dom_type","1","1, 2","NA"
"animal_sick_type","1","2","NA"
"animal_sick_sign","0.5","1","NA"
"water_drinking_qual","1","1, 3","NA"
"food_change","0.5","1","NA"
"food_unusual","0.5","1","NA"
"date__dd_mm_yyyy__","0.5","NA","237"
"insect_bednet","0.5","2","NA"
"insect_type","1","1","NA"
"insect_qty","0.5","2","NA"
"sample1_date_taken","0.5","NA","122"
"alt_sgpt__u_l_","0","1020.74028789462, 1848.01297423639","463.159970676133"
"ast_sgo__u_l_","0","93.8753130161203, 515.984900390264","200.953978248123"
"lactate__mmol_l_","1","1.04169203317724, 2.56200450682081","0.331881306888368"
"haemoglobin___g_l_","1","104.938423745334, 135.770427407697","13.9074239667939"
"creatinine__umol_l_","1","222.353353118524, 222.406962199602","0.0321338493554628"
"total_bilirubin__umol_l_","0.5","42.5328163707163, 44.819286217913","0.859252928909634"
"potassium__mmol_l_","0.5","5.78353944001719, 9.10370304249227","0.758138354977652"
"wbc_count__x109_l_","0","7.37481201067567, 10.6407620050013","1.58684454358793"
"urea__mmol_l_","0.5","0.398069925606251, 1.38028933759779","0.931793596639696"
"platelets__x109_l_","1","385.747453570366, 467.796717844903","42.9618684194813"
"creatinine_kinase__u_l_","1","247.644943485502, 305.758153169882","11.5020968260298"
"sample1_date_sent","0.5","NA","364"
"sample1_date_received","0","NA","373"
"sample3_quality","0","2","NA"
"test1_result_date","0.5","NA","305"
"atb_before","1","1","NA"
"onset_date","0","NA","64"
"presentation_date","0.5","NA","129"
"hospitalised","0","2","NA"
"outcome","0","2, 4","NA"
"date_outcome","0.5","NA","344"
"death_date","1","NA","117"
"sympt_fever_subj","1","2","NA"
"sign_temp","1","27.6246364563704, 33.5462741935626","4.69978677645053"
"sympt_fever_onset","0.5","NA","286"
"onset_type","1","1","NA"
"sympt_chills","0.5","2","NA"
"sympt_pain","0","2","NA"
"sympt_bleed","0.5","2","NA"
"sign_bleed","0.5","1","NA"
"sign_bleed_site","1","1, 4, 6, 7, 8","NA"
"sign_dehydratation","0.5","2","NA"
"sign_pulse","0","1","NA"
"sign_oede","0","1","NA"
"sign_card_dist","0.5","1","NA"
"sign_shock","0","2","NA"
"sign_hr","1","48.2135964557528, 88.0539696104825","9.04495566043353"
"sign_syst","0.5","8.86619724798948, 21.8270343355834","9.69370283711731"
"sign_dias","0.5","4.93933291407302, 7.44501809310168","0.438000053658364"
"sign_resp","0.5","1","NA"
"sign_cough","1","1","NA"
"sign_expect","0.5","2","NA"
"sign_bleed_sputum","0","1","NA"
"sign_short","0.5","2","NA"
"sign_resp_distress","0.5","2","NA"
"sign_blue","1","1","NA"
"sign_pneu","0.5","2","NA"
"sign_pntho","1","1","NA"
"sign_resprate","1","16.0013298168778, 17.7370342779905","0.418378923154217"
"sign_sat","0.5","85.3771844564471, 98.9556762599386","13.450173020415"
"sympt_abdopain","0.5","2","NA"
"sympt_hiccoughs","0","2","NA"
"sign_dark_stool","1","1","NA"
"sign_abdo_mass","0.5","2","NA"
"sympt_diarrhoea","0","1","NA"
"sign_dysentery","0.5","1","NA"
"sign_icterus","0.5","1","NA"
"sympt_vomit","0","1","NA"
"sympt_anorexia","0","1","NA"
"sign_altered_conscious_yn","0.5","1","NA"
"sign_lethargy","0","1","NA"
"sign_coma","0.5","2","NA"
"sign_seizure","0.5","2","NA"
"sign_rash","1","1","NA"
"sign_rash_onset","0.5","NA","199"
"sign_rash_type","0.5","1, 2, 3","NA"
"sign_necrosis","0.5","2","NA"
"sign_ulcer","0","1","NA"
"sign_gland","0.5","2","NA"
"sign_conjunctivitis","0.5","1","NA"
"sign_bleed_eyes","0","1","NA"
"sympt_difficulty_swallow","0","2","NA"
"sign_bleed_nose","0","1","NA"
"sign_bleed_gums","1","1","NA"
"sympt_bleed_vagina","0.5","2","NA"
"sign_renal","0","1","NA"
"cond_pregnant","0","1","NA"
"cond_partum","0.5","1","NA"
"cond_acute","1","1","NA"
"cond_immuno","0","1","NA"
"cond_malnut","0.5","457.096366649494, 476.352762850001","14.4677478693457"
"vac_yn","1","1","NA"
"vac_date","0.5","NA","219"
"vac_source","1","3","NA"
