"name","weight","observations","extension"
"report_date","0.5","NA","318"
"notification_facility_type","0.5","1, 3, 4","NA"
"birth_date","0.5","NA","371"
"age_year","0","4, 7","2"
"sex","0.5","1","NA"
"occupation_hcw","0","1","NA"
"gps_lat","0","-148.622645633295, 89.4959865231067","37.7807335657196"
"gps_long","1","-152.029595067725, -142.169843344018","4.59481901424516"
"mass_gathering_yn","0.5","1","NA"
"mass_gathering_date","0.5","NA","200"
"no_hhd","0.5","25, 32","3"
"sick_hhd_yn","0.5","1","NA"
"sick_hhd_onset","0.5","NA","298"
"sick_comm_yn","0.5","2","NA"
"sick_comm_relat","0","2","NA"
"sick_comm_onset","0.5","NA","12"
"contact_sym_yn","1","1","NA"
"contact_sym_date","1","NA","208"
"travel_hist_yn","0.5","2","NA"
"travel_hist_date","0.5","NA","76"
"tradi_n_treat","1","1","NA"
"animal_exposure_yn","0.5","1","NA"
"animal_dom_type","0.5","2","NA"
"animal_sick_type","0.5","1","NA"
"animal_sick_sign","0.5","2","NA"
"water_drinking_qual","0.5","1","NA"
"food_change","0","2","NA"
"food_unusual","0.5","2","NA"
"date__dd_mm_yyyy__","1","NA","247"
"insect_bednet","1","2","NA"
"insect_type","0.5","2","NA"
"insect_qty","0","2","NA"
"sample1_date_taken","0.5","NA","380"
"alt_sgpt__u_l_","1","948.607543854974, 1785.57532276958","310.971414402885"
"ast_sgo__u_l_","1","1110.88274045289, 1510.6772171203","384.115689412088"
"lactate__mmol_l_","0","1.0000941704493, 2.86293445760384","1.05253399962831"
"haemoglobin___g_l_","0.5","77.7827509492636, 102.818351872265","18.3788770709281"
"creatinine__umol_l_","1","70.1014102203771, 112.890218978282","6.2596514000231"
"total_bilirubin__umol_l_","0","1.36209222511388, 73.1140049588867","9.91032780373514"
"potassium__mmol_l_","0.5","0.407166101504117, 2.81820128671825","1.61310904650935"
"wbc_count__x109_l_","1","4.81514411792159, 16.0774613320827","7.50855837393963"
"urea__mmol_l_","0.5","1.07132683787495, 2.42442421987653","0.953254152243793"
"platelets__x109_l_","1","30.5058327317238, 350.978704094887","287.983058545417"
"creatinine_kinase__u_l_","0","273.232539703604, 443.662915681489","157.265832634227"
"sample1_date_sent","1","NA","343"
"sample1_date_received","0.5","NA","292"
"sample3_quality","0.5","2","NA"
"test1_result_date","0","NA","394"
"atb_before","1","1","NA"
"onset_date","0.5","NA","334"
"presentation_date","0","NA","145"
"hospitalised","0","1","NA"
"outcome","0.5","2, 3","NA"
"date_outcome","0.5","NA","363"
"death_date","0.5","NA","259"
"sympt_fever_subj","1","1","NA"
"sign_temp","0.5","32.2979290420189, 38.1761837061495","1.69834589273439"
"sympt_fever_onset","1","NA","180"
"onset_type","1","1","NA"
"sympt_chills","0.5","2","NA"
"sympt_pain","0","2","NA"
"sympt_bleed","0","2","NA"
"sign_bleed","0.5","2","NA"
"sign_bleed_site","0.5","1, 2, 3, 5, 6, 8","NA"
"sign_dehydratation","0.5","2","NA"
"sign_pulse","0.5","1","NA"
"sign_oede","1","1","NA"
"sign_card_dist","0","2","NA"
"sign_shock","1","2","NA"
"sign_hr","1","65.5861878022552, 116.863768054172","17.0168593696809"
"sign_syst","0.5","6.40796682797372, 6.89228085801005","0.130532643236314"
"sign_dias","1","11.6045233607292, 12.7921395385638","0.536597922772029"
"sign_resp","0.5","2","NA"
"sign_cough","1","2","NA"
"sign_expect","1","2","NA"
"sign_bleed_sputum","0","2","NA"
"sign_short","0.5","2","NA"
"sign_resp_distress","0.5","2","NA"
"sign_blue","0","2","NA"
"sign_pneu","0.5","1","NA"
"sign_pntho","0","1","NA"
"sign_resprate","0","16.7226804937236, 27.2192969759926","2.70269963383565"
"sign_sat","0.5","92.7977971953806, 93.3328639774118","0.344794805525696"
"sympt_abdopain","0","1","NA"
"sympt_hiccoughs","0.5","1","NA"
"sign_dark_stool","1","2","NA"
"sign_abdo_mass","1","1","NA"
"sympt_diarrhoea","0","1","NA"
"sign_dysentery","0","1","NA"
"sign_icterus","0","1","NA"
"sympt_vomit","1","2","NA"
"sympt_anorexia","0.5","1","NA"
"sign_altered_conscious_yn","0.5","1","NA"
"sign_lethargy","0.5","2","NA"
"sign_coma","0","1","NA"
"sign_seizure","0.5","2","NA"
"sign_rash","0","1","NA"
"sign_rash_onset","0.5","NA","287"
"sign_rash_type","1","3","NA"
"sign_necrosis","0.5","1","NA"
"sign_ulcer","0.5","2","NA"
"sign_gland","0.5","2","NA"
"sign_conjunctivitis","0","1","NA"
"sign_bleed_eyes","1","2","NA"
"sympt_difficulty_swallow","0.5","2","NA"
"sign_bleed_nose","0.5","1","NA"
"sign_bleed_gums","0","2","NA"
"sympt_bleed_vagina","1","1","NA"
"sign_renal","0","1","NA"
"cond_pregnant","1","1","NA"
"cond_partum","0","1","NA"
"cond_acute","0.5","2","NA"
"cond_immuno","0.5","1","NA"
"cond_malnut","0.5","257.436011540703, 328.408604520373","58.0633597486818"
"vac_yn","0.5","2","NA"
"vac_date","0.5","NA","204"
"vac_source","1","2","NA"
