"name","weight","observations","extension"
"report_date","0","NA","252"
"notification_facility_type","0.5","1, 4","NA"
"birth_date","0","NA","9"
"age_year","1","49, 97","45"
"sex","0.5","1","NA"
"occupation_hcw","1","1","NA"
"gps_lat","1","2.78716846369207, 165.123710744083","69.167794208544"
"gps_long","1","91.6110329702497, 136.612181123346","35.2610244042034"
"mass_gathering_yn","1","2","NA"
"mass_gathering_date","0","NA","344"
"no_hhd","0","32, 88","26"
"sick_hhd_yn","0.5","1","NA"
"sick_hhd_onset","0.5","NA","13"
"sick_comm_yn","0.5","2","NA"
"sick_comm_relat","0.5","1, 2","NA"
"sick_comm_onset","1","NA","179"
"contact_sym_yn","0.5","2","NA"
"contact_sym_date","0.5","NA","372"
"travel_hist_yn","0","2","NA"
"travel_hist_date","1","NA","275"
"tradi_n_treat","1","1","NA"
"animal_exposure_yn","0","1","NA"
"animal_dom_type","1","2, 3","NA"
"animal_sick_type","0","1","NA"
"animal_sick_sign","0","2","NA"
"water_drinking_qual","0","2, 3","NA"
"food_change","1","1","NA"
"food_unusual","1","1","NA"
"date__dd_mm_yyyy__","0","NA","291"
"insect_bednet","0.5","2","NA"
"insect_type","0.5","2","NA"
"insect_qty","0.5","2","NA"
"sample1_date_taken","1","NA","356"
"alt_sgpt__u_l_","0","495.623048633337, 1946.54901431384","301.371716002442"
"ast_sgo__u_l_","1","1370.03913135687, 1468.85802254686","38.4903487082168"
"lactate__mmol_l_","0.5","1.16951352241449, 2.43140436918475","0.803160195428914"
"haemoglobin___g_l_","1","100.746062938124, 146.166482465342","43.2641361620205"
"creatinine__umol_l_","0","70.3578399377875, 108.859405573457","16.412932656711"
"total_bilirubin__umol_l_","0.5","32.198842396494, 41.236133240629","5.0167703609153"
"potassium__mmol_l_","0.5","5.85414386121556, 6.17336421972141","0.290269500077962"
"wbc_count__x109_l_","1","9.01219043880701, 13.1984435766935","2.22709430021537"
"urea__mmol_l_","0","0.202207441208884, 1.78686411562376","1.20653544477047"
"platelets__x109_l_","0.5","52.3303276672959, 328.881389386952","201.253113084868"
"creatinine_kinase__u_l_","0.5","163.8962109969, 181.137626485433","16.9670217909407"
"sample1_date_sent","0","NA","8"
"sample1_date_received","0.5","NA","114"
"sample3_quality","0.5","1","NA"
"test1_result_date","0","NA","121"
"atb_before","0.5","2","NA"
"onset_date","0","NA","208"
"presentation_date","1","NA","214"
"hospitalised","0.5","1","NA"
"outcome","1","3, 4","NA"
"date_outcome","0.5","NA","142"
"death_date","0.5","NA","169"
"sympt_fever_subj","1","2","NA"
"sign_temp","0.5","27.5287644993514, 35.0172918392345","2.10427088160768"
"sympt_fever_onset","0","NA","20"
"onset_type","0.5","2","NA"
"sympt_chills","0.5","1","NA"
"sympt_pain","0.5","2","NA"
"sympt_bleed","0.5","1","NA"
"sign_bleed","1","1","NA"
"sign_bleed_site","0","1, 2, 3, 5, 6, 7, 8","NA"
"sign_dehydratation","1","1","NA"
"sign_pulse","0.5","2","NA"
"sign_oede","0","1","NA"
"sign_card_dist","1","1","NA"
"sign_shock","0","1","NA"
"sign_hr","1","51.7949549946934, 78.3361962903291","26.4407648253641"
"sign_syst","1","18.7379289185628, 19.5257728267461","0.52496667593936"
"sign_dias","0.5","7.97514293738641, 10.8375943708234","2.50642006982651"
"sign_resp","0.5","2","NA"
"sign_cough","0","2","NA"
"sign_expect","0","1","NA"
"sign_bleed_sputum","0.5","1","NA"
"sign_short","0","2","NA"
"sign_resp_distress","0.5","2","NA"
"sign_blue","0.5","1","NA"
"sign_pneu","0.5","1","NA"
"sign_pntho","0.5","1","NA"
"sign_resprate","0.5","26.0818469580263, 29.2690882193856","2.96904511404222"
"sign_sat","0.5","82.6808247005101, 91.5581639576703","7.98538202821847"
"sympt_abdopain","0.5","2","NA"
"sympt_hiccoughs","0","2","NA"
"sign_dark_stool","0.5","2","NA"
"sign_abdo_mass","0.5","2","NA"
"sympt_diarrhoea","0.5","1","NA"
"sign_dysentery","1","2","NA"
"sign_icterus","1","1","NA"
"sympt_vomit","0","1","NA"
"sympt_anorexia","1","2","NA"
"sign_altered_conscious_yn","0","1","NA"
"sign_lethargy","0.5","1","NA"
"sign_coma","0","2","NA"
"sign_seizure","0.5","1","NA"
"sign_rash","0.5","1","NA"
"sign_rash_onset","0.5","NA","300"
"sign_rash_type","0.5","1, 4, 5","NA"
"sign_necrosis","0.5","1","NA"
"sign_ulcer","0.5","1","NA"
"sign_gland","0.5","2","NA"
"sign_conjunctivitis","0.5","2","NA"
"sign_bleed_eyes","0","2","NA"
"sympt_difficulty_swallow","0.5","1","NA"
"sign_bleed_nose","0.5","2","NA"
"sign_bleed_gums","0.5","2","NA"
"sympt_bleed_vagina","0.5","1","NA"
"sign_renal","1","1","NA"
"cond_pregnant","0.5","1","NA"
"cond_partum","0","1","NA"
"cond_acute","0.5","1","NA"
"cond_immuno","0.5","2","NA"
"cond_malnut","1","176.024292856455, 257.192688286304","15.6821467043979"
"vac_yn","1","2","NA"
"vac_date","0.5","NA","357"
"vac_source","1","3","NA"
