"name","weight","observations","extension"
"report_date","0.5","NA","211"
"notification_facility_type","0.5","4","NA"
"birth_date","0","NA","295"
"age_year","0.5","70, 89","2"
"sex","0.5","2","NA"
"occupation_hcw","0.5","1","NA"
"gps_lat","1","-84.1203659120947, 91.5325997304171","169.004316770982"
"gps_long","0.5","-6.75493855029345, 147.41807998158","152.800089913724"
"mass_gathering_yn","0.5","1","NA"
"mass_gathering_date","0.5","NA","53"
"no_hhd","1","3, 54","10"
"sick_hhd_yn","0","2","NA"
"sick_hhd_onset","0","NA","69"
"sick_comm_yn","0","2","NA"
"sick_comm_relat","0.5","4","NA"
"sick_comm_onset","0.5","NA","180"
"contact_sym_yn","0","2","NA"
"contact_sym_date","0.5","NA","203"
"travel_hist_yn","1","2","NA"
"travel_hist_date","1","NA","222"
"tradi_n_treat","0.5","2","NA"
"animal_exposure_yn","0.5","2","NA"
"animal_dom_type","1","2","NA"
"animal_sick_type","0.5","1","NA"
"animal_sick_sign","0","2","NA"
"water_drinking_qual","0","1, 2","NA"
"food_change","1","2","NA"
"food_unusual","0.5","2","NA"
"date__dd_mm_yyyy__","0.5","NA","397"
"insect_bednet","0.5","2","NA"
"insect_type","1","1","NA"
"insect_qty","0.5","1","NA"
"sample1_date_taken","0","NA","173"
"alt_sgpt__u_l_","0","545.568559831008, 894.560050165048","148.787318726231"
"ast_sgo__u_l_","0.5","318.265503268689, 1239.48498316295","895.947139941233"
"lactate__mmol_l_","0.5","0.159581870539114, 1.10373614821583","0.702677093891109"
"haemoglobin___g_l_","1","92.4350393470377, 160.174860656261","57.886616355631"
"creatinine__umol_l_","1","74.0527045098133, 93.3216723031364","8.4873064597404"
"total_bilirubin__umol_l_","0.5","60.1031315994915, 63.0159761274699","1.01513926763876"
"potassium__mmol_l_","1","0.0860376749187708, 9.98923882376403","8.83660574682278"
"wbc_count__x109_l_","0","5.7693073451519, 17.7517977356911","9.2649848190689"
"urea__mmol_l_","0.5","0.356711557600647, 0.502098528435454","0.0151748339254382"
"platelets__x109_l_","0","31.5778923407197, 286.346015259624","89.5293112932814"
"creatinine_kinase__u_l_","0.5","418.560289104935, 460.764654551167","40.0589625051799"
"sample1_date_sent","0","NA","2"
"sample1_date_received","0.5","NA","330"
"sample3_quality","0.5","2","NA"
"test1_result_date","0.5","NA","363"
"atb_before","0.5","2","NA"
"onset_date","0.5","NA","110"
"presentation_date","1","NA","257"
"hospitalised","1","2","NA"
"outcome","0","1, 3, 4","NA"
"date_outcome","0","NA","82"
"death_date","0.5","NA","228"
"sympt_fever_subj","0.5","1","NA"
"sign_temp","1","29.8509866101667, 40.371083855629","2.72382064084353"
"sympt_fever_onset","0.5","NA","332"
"onset_type","1","1","NA"
"sympt_chills","1","2","NA"
"sympt_pain","1","2","NA"
"sympt_bleed","0.5","1","NA"
"sign_bleed","0","1","NA"
"sign_bleed_site","1","1, 4, 5, 6, 7, 8","NA"
"sign_dehydratation","0.5","2","NA"
"sign_pulse","0","2","NA"
"sign_oede","0","1","NA"
"sign_card_dist","1","1","NA"
"sign_shock","1","2","NA"
"sign_hr","0.5","47.3213312681764, 123.302486175671","44.0875501805246"
"sign_syst","1","15.1412459695712, 15.4067028220743","0.0789277549739825"
"sign_dias","0.5","4.52273811073974, 6.50231585022993","1.85709297659314"
"sign_resp","0","1","NA"
"sign_cough","0.5","2","NA"
"sign_expect","0.5","1","NA"
"sign_bleed_sputum","0","1","NA"
"sign_short","0","2","NA"
"sign_resp_distress","0.5","1","NA"
"sign_blue","0.5","1","NA"
"sign_pneu","0.5","2","NA"
"sign_pntho","0.5","1","NA"
"sign_resprate","1","12.6621186207049, 18.4189041354693","1.24747596465082"
"sign_sat","1","70.3437231644057, 76.982977502048","2.476283498324"
"sympt_abdopain","1","2","NA"
"sympt_hiccoughs","0.5","1","NA"
"sign_dark_stool","0","2","NA"
"sign_abdo_mass","0","1","NA"
"sympt_diarrhoea","0","2","NA"
"sign_dysentery","0.5","2","NA"
"sign_icterus","0.5","2","NA"
"sympt_vomit","1","1","NA"
"sympt_anorexia","0.5","2","NA"
"sign_altered_conscious_yn","0","2","NA"
"sign_lethargy","1","2","NA"
"sign_coma","0.5","1","NA"
"sign_seizure","1","1","NA"
"sign_rash","0.5","1","NA"
"sign_rash_onset","0.5","NA","26"
"sign_rash_type","1","2","NA"
"sign_necrosis","0.5","1","NA"
"sign_ulcer","0.5","2","NA"
"sign_gland","0.5","2","NA"
"sign_conjunctivitis","1","1","NA"
"sign_bleed_eyes","0","2","NA"
"sympt_difficulty_swallow","0.5","2","NA"
"sign_bleed_nose","0","1","NA"
"sign_bleed_gums","0.5","1","NA"
"sympt_bleed_vagina","0.5","1","NA"
"sign_renal","0.5","1","NA"
"cond_pregnant","0.5","2","NA"
"cond_partum","0.5","2","NA"
"cond_acute","1","1","NA"
"cond_immuno","0","1","NA"
"cond_malnut","0","187.045505540445, 252.058398453519","29.9094995472409"
"vac_yn","1","1","NA"
"vac_date","0.5","NA","177"
"vac_source","0","1","NA"
