"name","weight","observations","extension"
"report_date","0.5","NA","223"
"notification_facility_type","1","1, 3, 4","NA"
"birth_date","0.5","NA","243"
"age_year","0.5","42, 66","3"
"sex","0.5","2","NA"
"occupation_hcw","0.5","1","NA"
"gps_lat","0.5","-26.0735886264592, 40.5930930376053","35.2480778990667"
"gps_long","1","-171.719874758273, 60.6901184096932","50.2835994616486"
"mass_gathering_yn","0.5","2","NA"
"mass_gathering_date","0","NA","28"
"no_hhd","0","35, 36","1"
"sick_hhd_yn","0.5","2","NA"
"sick_hhd_onset","0.5","NA","118"
"sick_comm_yn","0.5","1","NA"
"sick_comm_relat","0.5","1, 2, 4","NA"
"sick_comm_onset","0.5","NA","113"
"contact_sym_yn","0","1","NA"
"contact_sym_date","0","NA","153"
"travel_hist_yn","0","1","NA"
"travel_hist_date","0.5","NA","156"
"tradi_n_treat","0.5","1","NA"
"animal_exposure_yn","1","1","NA"
"animal_dom_type","0.5","1, 3","NA"
"animal_sick_type","1","2","NA"
"animal_sick_sign","1","1","NA"
"water_drinking_qual","0.5","2","NA"
"food_change","0.5","2","NA"
"food_unusual","0.5","2","NA"
"date__dd_mm_yyyy__","0","NA","124"
"insect_bednet","1","2","NA"
"insect_type","0","1","NA"
"insect_qty","1","1","NA"
"sample1_date_taken","0.5","NA","312"
"alt_sgpt__u_l_","0","228.932468030835, 689.787284916965","118.356101687223"
"ast_sgo__u_l_","0.5","122.327717874665, 1786.2743767635","295.041980878923"
"lactate__mmol_l_","0.5","0.224201929522678, 2.8338254741393","1.75132513799935"
"haemoglobin___g_l_","0","110.951298326254, 169.351089019328","7.09797543260854"
"creatinine__umol_l_","0","76.8280018353835, 114.012560236733","7.99616205325833"
"total_bilirubin__umol_l_","0.5","27.5891660694033, 45.3983460988384","14.0940298537184"
"potassium__mmol_l_","0","5.73188370792195, 6.75689812051132","0.414168188931713"
"wbc_count__x109_l_","0","7.10459572821856, 13.8137132078409","1.52520083305711"
"urea__mmol_l_","0.5","0.41073088045232, 2.22524279169738","0.820725379538633"
"platelets__x109_l_","0.5","316.444105543196, 345.994538031518","8.62032582085485"
"creatinine_kinase__u_l_","0","120.669656011742, 249.262772432994","49.1642285894078"
"sample1_date_sent","0.5","NA","66"
"sample1_date_received","1","NA","177"
"sample3_quality","0.5","1","NA"
"test1_result_date","0.5","NA","119"
"atb_before","0.5","1","NA"
"onset_date","0.5","NA","49"
"presentation_date","0","NA","254"
"hospitalised","0.5","1","NA"
"outcome","0","2","NA"
"date_outcome","0","NA","234"
"death_date","0","NA","272"
"sympt_fever_subj","1","1","NA"
"sign_temp","0","27.8150090444833, 39.4781113937497","4.34102884231849"
"sympt_fever_onset","1","NA","112"
"onset_type","0.5","1","NA"
"sympt_chills","0.5","1","NA"
"sympt_pain","0.5","1","NA"
"sympt_bleed","0.5","1","NA"
"sign_bleed","1","2","NA"
"sign_bleed_site","1","1, 5, 7","NA"
"sign_dehydratation","0","1","NA"
"sign_pulse","1","2","NA"
"sign_oede","1","2","NA"
"sign_card_dist","0.5","2","NA"
"sign_shock","0.5","2","NA"
"sign_hr","0","43.1557017751038, 70.579074844718","14.6872369574241"
"sign_syst","0","14.055178007111, 24.5810063555837","2.39225909265958"
"sign_dias","1","7.27776752063073, 7.41374407382682","0.0519753801347214"
"sign_resp","0","2","NA"
"sign_cough","0","2","NA"
"sign_expect","0.5","1","NA"
"sign_bleed_sputum","0","2","NA"
"sign_short","0.5","1","NA"
"sign_resp_distress","0.5","1","NA"
"sign_blue","1","1","NA"
"sign_pneu","1","1","NA"
"sign_pntho","0","2","NA"
"sign_resprate","1","9.65066732373089, 14.0703304628842","0.863924905463093"
"sign_sat","1","89.1014185198583, 99.490126556484","3.34883386419277"
"sympt_abdopain","0.5","1","NA"
"sympt_hiccoughs","1","1","NA"
"sign_dark_stool","0.5","1","NA"
"sign_abdo_mass","0.5","1","NA"
"sympt_diarrhoea","1","2","NA"
"sign_dysentery","1","2","NA"
"sign_icterus","0.5","2","NA"
"sympt_vomit","0.5","2","NA"
"sympt_anorexia","0.5","1","NA"
"sign_altered_conscious_yn","0.5","2","NA"
"sign_lethargy","0.5","1","NA"
"sign_coma","0.5","2","NA"
"sign_seizure","0","1","NA"
"sign_rash","0.5","2","NA"
"sign_rash_onset","1","NA","284"
"sign_rash_type","1","2, 3","NA"
"sign_necrosis","0.5","2","NA"
"sign_ulcer","0.5","1","NA"
"sign_gland","0.5","1","NA"
"sign_conjunctivitis","1","2","NA"
"sign_bleed_eyes","1","2","NA"
"sympt_difficulty_swallow","1","1","NA"
"sign_bleed_nose","0.5","1","NA"
"sign_bleed_gums","1","2","NA"
"sympt_bleed_vagina","1","2","NA"
"sign_renal","1","1","NA"
"cond_pregnant","0.5","1","NA"
"cond_partum","0.5","2","NA"
"cond_acute","0","1","NA"
"cond_immuno","0.5","2","NA"
"cond_malnut","0.5","185.322096589953, 374.488160847686","60.8191551868586"
"vac_yn","0.5","1","NA"
"vac_date","0","NA","386"
"vac_source","0","1, 2","NA"
